mag_d,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
0,0.265365257690437,0.14959896520774393,0.173591590747034,-1.1247319430445284,-1.1247487319122471,0.4451539854541765,-0.6307702875098735,202618.70902164813,0.8005005986276915,0.8947069903760065,0.8947122925999584,188206.67472181507,0.7435619173964999,0.10753241581581796,0.1074641999949677,0.4463361227564623,0.20109450844586998,20713.96244323286,0.7915458154011563,0.8896886058622737,0.8897396069575527,17575.610683574752,0.6716194995442987
1,0.329991839303031,0.24927120887292023,0.30459813925597945,-0.2614090212213347,-0.26142397208109047,0.6365098288929283,-0.46786838292452815,120290.4998274309,0.47524050264674517,0.6893768944827968,0.6893823416911038,136840.97332933467,0.5406276725177673,0.438716539847789,0.4386521847787863,0.6736289575066702,0.11334142699476565,13027.256921862005,0.4978125614987965,0.7055583331651583,0.7056122625646993,13933.484346594452,0.5324423687032157
2,0.3883873811214329,0.32513306212676946,0.35200957639457253,0.059964555529088526,0.0599496997676493,0.6959171036855603,-0.3607138805486673,89643.66955407988,0.35416182191525547,0.5951149652926361,0.5951208432906044,110983.12281025985,0.43846916543966125,0.5041113698550774,0.5040355574976175,0.7210391901705564,0.09099297411527825,11509.458318576108,0.4398126912979521,0.663183753795245,0.663247118731115,13023.149529027824,0.4976556050681273
3,0.39955216340865085,0.3385081345989278,0.3783263022958301,0.08244943745963729,0.08243131185836394,0.6905506986273351,-0.31157265923744976,87499.46601622654,0.34569055969115436,0.5879545558044043,0.5879615245538931,107847.96116661561,0.4260828523264746,0.5514230404605283,0.5513373131051906,0.7466368252426606,0.044414801768716886,10411.365586229078,0.3978511057445481,0.630754394153975,0.6308267159330528,12375.909932446853,0.47292253935751666
4,0.40318813286867833,0.3433444922183446,0.3756853951855575,0.1137549432029451,0.11373393450175517,0.7147928238811692,-0.3568710783263493,84514.1100612111,0.333896094902361,0.5778374294750739,0.5778454198073438,106142.40108794015,0.4193445709971363,0.5433018897007729,0.5431971504353575,0.7446786835954132,0.09013396836115407,10599.855582744949,0.4050539028142057,0.6364384517093588,0.6365235899097675,12448.054085440763,0.4756793949115657
5,0.4112966089216184,0.35316430211275807,0.38604981595591925,0.14808010296173635,0.14805654202000318,0.715160594639103,-0.32515225312091667,81240.79382945858,0.3209639643223775,0.5665368163874062,0.5665457696338956,99625.38551586783,0.39359731946296284,0.558160446903717,0.5580422221847967,0.7543200580929298,0.07166655348258306,10254.991969414106,0.39187557680515517,0.625999661984857,0.6260953696125209,12259.731918385103,0.4684830111347435
6,0.41303073758976744,0.35519824106959463,0.3824666924112149,0.1436698093003912,0.14364274300593116,0.718611156070859,-0.336823914699591,81661.36829815678,0.32262555873084087,0.5680013721205618,0.568011470590978,101924.27952133432,0.402679728666157,0.560761322583333,0.5606269988287713,0.7554276728806586,0.07447904042787515,10194.626257424361,0.389568812618914,0.6241544781693984,0.6242618349591444,12201.588414653763,0.46626116453260585
7,0.41020504816414055,0.35183592744068815,0.38311388741126057,0.13593810404113438,0.1359073794127642,0.7171101054865128,-0.33849096847737326,82398.67925321368,0.32553850721298094,0.5705598191364171,0.5705710902330695,101884.75749492689,0.40252358609693967,0.5522244410773371,0.5520703839639037,0.7501247625636741,0.07035282624816279,10392.76526665136,0.39714032888728495,0.6301907083473105,0.6303111507367188,12304.53905374874,0.4701952330524185
8,0.40487198221207643,0.34555716718199475,0.36745725571586624,0.13079133453410097,0.13075699257721896,0.7129448922174282,-0.34694058240836095,82889.48553894818,0.32747757161348867,0.5722565610051917,0.5722689961183837,103824.0425149718,0.41018526169911623,0.5224172283651657,0.5222346521851692,0.7345505367742319,0.10836737256361359,11084.583653782853,0.4235768907402978,0.6508278503108927,0.6509646794620547,12651.440869438862,0.4834514452000024
9,0.40526098734528493,0.34570017255383506,0.383219390009723,0.11860482905670622,0.11856652312244087,0.7216441261985911,-0.3517803755243776,84051.61519742358,0.3320688825135752,0.5762541822091838,0.5762678425929508,103687.52462217431,0.40964591044455806,0.5670369477941853,0.56685487058448,0.7582666597907112,0.049554826140786185,10048.970474257421,0.38400284589619094,0.6196796316615473,0.619821760019302,12196.16559089918,0.46605394133895756
10,0.4110876127954287,0.3531017707340657,0.3931174494675066,0.15137859827137434,0.15133836367496356,0.7259650236664104,-0.34541244360225287,80926.2426864117,0.319721244044848,0.5654389834852634,0.5654535045329038,102346.01819110317,0.40434592256920043,0.5811260684720554,0.580933895082457,0.7685493851953441,0.08161407975273441,9721.965301463088,0.37150694720711863,0.6095136973088616,0.6096651480994483,11977.43625792969,0.4576956038797696
